Career,Required_Skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Pandas,NumPy,Data Visualization,Feature Engineering,Deep Learning,Tableau,Scikit-Learn,Big Data,A/B Testing,Communication,R"
AI Engineer,"Python,Deep Learning,PyTorch,TensorFlow,Neural Networks,Generative AI,LLMs,Transformers,Cloud AI Services,Git,Model Deployment,API Integration,C++,Algorithms"
Machine Learning Engineer,"Python,Machine Learning,MLOps,Scikit-Learn,TensorFlow,PyTorch,Model Deployment,Docker,Kubernetes,Feature Engineering,SQL,Git,CI/CD,Data Pipelines"
Prompt Engineer,"Generative AI,Large Language Models,Prompt Optimization,Natural Language Processing,Python,Creative Writing,Tokenization,Few-Shot Learning,Iterative Testing,AI Safety,System Prompts"
NLP Engineer,"Python,Natural Language Processing,BERT,Transformers,NLTK,SpaPy,Text Mining,Tokenization,Deep Learning,Sequence-to-Sequence,PyTorch,Regex,Information Retrieval"
Computer Vision Engineer,"Python,OpenCV,Image Processing,Deep Learning,CNNs,PyTorch,TensorFlow,Object Detection,Image Segmentation,C++,CUDA,YOLO,MediaPipe"
Data Analyst,"SQL,Excel,Tableau,Power BI,Data Visualization,Python,Statistics,Data Cleaning,Reporting,Dashboard Design,Business Intelligence,Communication,A/B Testing"
Business Analyst,"Requirements Gathering,BRD,FRD,Agile,SQL,Data Analysis,Process Mapping,Jira,UML,Stakeholder Management,Tableau,User Stories,Communication,Visio"
Data Engineer,"Python,SQL,ETL,Apache Spark,Hadoop,Data Warehousing,Airflow,Cloud Data Services,Data Pipelines,NoSQL,Kafka,Databricks,Data Modeling,Git"
Cloud Engineer,"AWS,Azure,Google Cloud Platform,Terraform,Cloud Infrastructure,Linux,Networking,IAM,CI/CD,Docker,Kubernetes,Cloud Security,Bash,SysOps"
DevOps Engineer,"CI/CD,Jenkins,Git,Docker,Kubernetes,Terraform,Ansible,Linux,Bash,AWS,Monitoring and Logging,Site Reliability,Infrastructure as Code,Python"
Cybersecurity Analyst,"Network Security,SIEM,Vulnerability Assessment,Incident Response,Firewalls,IDS/IPS,Penetration Testing,Wireshark,Linux,Identity and Access Management,CompTIA Security+,Threat Intelligence,Ethical Hacking"
Product Manager,"Product Roadmap,Agile,Scrum,User Research,PRD,Market Analysis,Stakeholder Management,Data Analytics,Jira,A/B Testing,UI/UX Principles,Cross-functional Leadership,Product Lifecycle"
UI/UX Designer,"Figma,Wireframing,Prototyping,User Research,Information Architecture,Visual Design,Adobe XD,User Personas,Usability Testing,Interaction Design,Responsive Design,Design Systems"
Software Engineer,"Java,Python,C++,Data Structures,Algorithms,Git,Object-Oriented Programming,SQL,Software Architecture,System Design,Unit Testing,Agile,Debugging,Code Review"
Full Stack Developer,"JavaScript,React,Node.js,HTML5,CSS3,Express,SQL,MongoDB,Git,RESTful APIs,TypeScript,Authentication,Docker,Responsive Web Design,Deployment"
HR,"Recruitment,HRMS,Employee Relations,Talent Acquisition,Payroll,Conflict Resolution,Training and Development,Communication,Performance Management,Workforce Planning,Labor Laws,Onboarding"
Accountant,"Financial Reporting,QuickBooks,Tally,Taxation,Auditing,Excel,General Ledger,Accounts Payable,Accounts Receivable,Reconciliation,GAAP,IFRS,Financial Analysis"
Banking Professional,"Retail Banking,Credit Risk Assessment,Financial Analysis,AML,KYC,Customer Relationship Management,Core Banking Systems,Loans Processing,Investment Products,Cross-Selling,Compliance"
Teacher,"Lesson Planning,Classroom Management,Curriculum Development,Differentiated Instruction,Educational Technology,Student Assessment,Communication,Parent-Teacher Collaboration,Child Psychology,Subject Matter Expertise"
Advocate,"Legal Research,Litigation,Case Analysis,Legal Drafting,Contracts,Corporate Law,Cross-Examination,Legal Writing,Client Counseling,Arbitration,Public Speaking,Negotiation"
Chef,"Culinary Arts,Menu Planning,Food Safety,Kitchen Management,Inventory Control,Plating,Flavor Profiling,Baking,Knife Skills,Cost Control,Team Leadership,Sanitation Regulations"
Healthcare Professional,"Patient Care,Clinical Skills,Electronic Health Records,Medical Diagnosis,CPR,BLS,Patient Education,Medical Ethics,Pharmacology,Empathy,Interdisciplinary Collaboration,Infection Control"
Sales Executive,"B2B Sales,Lead Generation,Cold Calling,Negotiation,CRM,Closing Deals,Sales Pitching,Account Management,Market Research,Communication,Sales Forecasting,Presentation Skills"
Business Development Executive,"Lead Generation,Market Research,Strategic Partnerships,Sales Pipeline,Client Relationship Management,Negotiation,Proposal Writing,B2B Sales,Competitive Analysis,Communication,Networking,Presentation Skills"
