Skill,Course,Platform,Difficulty,Duration
A/B Testing,Data Science Skills: A/B Testing,Coursera,Intermediate,4 weeks
AI Safety,AI Safety and Governance,edX,Advanced,6 weeks
AML,Anti-Money Laundering Concepts,Udemy,Beginner,3 weeks
API Integration,REST APIs with Python and Flask,Udemy,Intermediate,6 weeks
AWS,AWS Cloud Practitioner Essentials,AWS Skill Builder,Beginner,4 weeks
Account Management,Key Account Management Fundamentals,Coursera,Intermediate,4 weeks
Accounts Payable,Accounts Payable Management,Udemy,Beginner,3 weeks
Accounts Receivable,Accounts Receivable and Credit Management,Udemy,Beginner,3 weeks
Adobe XD,User Experience Design Essentials - Adobe XD,Udemy,Beginner,5 weeks
Agile,Agile Planning and Portfolio Management,edX,Intermediate,6 weeks
Airflow,Data Pipelines with Apache Airflow,Udemy,Intermediate,4 weeks
Algorithms,Algorithms Specialization,Coursera,Advanced,12 weeks
Ansible,Automating Administration with Ansible,Automate,Intermediate,4 weeks
Apache Spark,Big Data Analysis with Apache Spark,edX,Intermediate,8 weeks
Arbitration,International Arbitration Law,Coursera,Advanced,6 weeks
Auditing,Auditing I: Conceptual Foundations of Auditing,Coursera,Intermediate,4 weeks
Authentication,User Authentication & Authorization in Node.js,Udemy,Intermediate,3 weeks
Azure,Microsoft Azure Fundamentals (AZ-900),Microsoft Learn,Beginner,4 weeks
B2B Sales,Sales Training: Building Your B2B Sales Pipeline,Coursera,Intermediate,5 weeks
BERT,Google BERT Masterclass,Udemy,Advanced,4 weeks
BLS,Basic Life Support (BLS) Provider Handbook,National CPR Association,Beginner,2 weeks
BRD,Business Requirements Document (BRD) Writing for BAs,Udemy,Beginner,3 weeks
Baking,Baking Arts and Pastry Fundamentals,Udemy,Beginner,6 weeks
Bash,Bash Scripting and Shell Programming,FreeCodeCamp,Beginner,4 weeks
Big Data,Big Data Specialization,Coursera,Intermediate,12 weeks
Business Intelligence,Business Intelligence Concepts,edX,Beginner,6 weeks
C++,Coding for Everyone: C and C++,Coursera,Beginner,8 weeks
CI/CD,Continuous Integration and Continuous Delivery (CI/CD),Coursera,Intermediate,4 weeks
CNNs,Convolutional Neural Networks,Coursera,Advanced,4 weeks
CPR,Cardiopulmonary Resuscitation (CPR) Training,Udemy,Beginner,2 weeks
CRM,Salesforce CRM Concepts,Udemy,Beginner,4 weeks
CSS3,Advanced CSS and Sass: Flexbox Grid Animations,Udemy,Intermediate,6 weeks
CUDA,Introduction to Parallel Programming with CUDA,Udemy,Advanced,6 weeks
Case Analysis,Legal Case Analysis and Documentation,Coursera,Intermediate,4 weeks
Child Psychology,Introduction to Child Psychology,Coursera,Beginner,6 weeks
Classroom Management,Classroom Management Strategies for Teachers,Udemy,Beginner,4 weeks
Client Counseling,Effective Client Counseling for Lawyers,Udemy,Intermediate,3 weeks
Client Relationship Management,Client Relationship Management for BDEs,Coursera,Intermediate,4 weeks
Clinical Skills,Clinical Skills for Healthcare Providers,Coursera,Intermediate,8 weeks
Closing Deals,Sales Training: Practical Techniques for Closing Deals,Udemy,Intermediate,3 weeks
Cloud AI Services,Implementing Cloud AI Services,edX,Intermediate,5 weeks
Cloud Data Services,Exploring Cloud Data Services,edX,Beginner,4 weeks
Cloud Infrastructure,Cloud Infrastructure Technologies,edX,Beginner,6 weeks
Cloud Security,AWS Cloud Security Fundamentals,AWS Skill Builder,Intermediate,4 weeks
Code Review,Code Review Best Practices,Udemy,Intermediate,2 weeks
Cold Calling,Cold Calling Masterclass: Lead Generation,Udemy,Beginner,3 weeks
Communication,Improving Communication Skills,Coursera,Beginner,4 weeks
CompTIA Security+,CompTIA Security+ Certification Course,Udemy,Intermediate,8 weeks
Competitive Analysis,Competitive Analysis and Market Assessment,Coursera,Intermediate,4 weeks
Compliance,Compliance in Financial Institutions,Coursera,Intermediate,5 weeks
Conflict Resolution,Conflict Resolution Skills,Coursera,Beginner,4 weeks
Contracts,Contract Law: From Trust to Promise to Contract,edX,Beginner,8 weeks
Core Banking Systems,Introduction to Core Banking Solutions,Udemy,Beginner,4 weeks
Corporate Law,Corporate Law Specialization,Coursera,Advanced,10 weeks
Cost Control,Cost Control and Restaurant Management,Udemy,Intermediate,5 weeks
Creative Writing,Creative Writing Specialization,Coursera,Beginner,12 weeks
Credit Risk Assessment,Credit Risk Modeling in Python,Udemy,Advanced,6 weeks
Cross-Examination,Art of Cross-Examination,Udemy,Advanced,4 weeks
Cross-Selling,Cross-Selling and Upselling Financial Products,Udemy,Intermediate,3 weeks
Cross-functional Leadership,Leading Cross-Functional Teams,Coursera,Advanced,4 weeks
Culinary Arts,Introduction to Culinary Arts,Udemy,Beginner,8 weeks
Curriculum Development,Curriculum Design and Instructional Leadership,edX,Intermediate,6 weeks
Customer Relationship Management,Customer Relationship Management Fundamentals,edX,Beginner,4 weeks
