Career,Internship_Role,Required_Skills
Data Scientist,Data Science Intern,"Python, SQL, Statistics, Machine Learning, Data Visualization"
Data Scientist,Machine Learning Intern,"Python, TensorFlow, Scikit-Learn, Deep Learning, Data Analysis"
Data Scientist,Data Analyst Intern,"Excel, Tableau, SQL, Python, PowerBI"
Data Scientist,AI Research Intern,"Python, PyTorch, NLP, Computer Vision, Academic Research"
Data Scientist,Quantitative Research Intern,"R, Python, Time Series Analysis, Probability, Stochastic Calculus"
Data Scientist,Business Intelligence Intern,"SQL, ETL, PowerBI, Data Modeling, Dashboard Design"
Data Scientist,Big Data Intern,"Hadoop, Spark, Python, Hive, Cloud Data Warehouses"
HR,HR Operations Intern,"Recruitment, HRMS, Communication, Employee Relations, MS Office"
HR,Talent Acquisition Intern,"Sourcing, Screening, Applicant Tracking Systems (ATS), Communication, Interview Coordination"
HR,HR Generalist Intern,"Employee Engagement, Policy Implementation, Onboarding, Conflict Resolution"
HR,Compensation and Benefits Intern,"Payroll Processing, Market Benchmarking, Advanced Excel, Data Analysis"
HR,Learning and Development Intern,"Training Design, LMS Administration, Presentation Skills, Content Creation"
HR,People Analytics Intern,"HR Metrics, Excel, Tableau, Data Interpretation, Workforce Planning"
AI Engineer,AI Engineering Intern,"Python, PyTorch, Neural Networks, Computer Vision, Transformers"
AI Engineer,NLP Engineering Intern,"BERT, GPT, Tokenization, Text Preprocessing, Python, HuggingFace"
AI Engineer,Computer Vision Intern,"OpenCV, PyTorch, CNN, Object Detection, Image Segmentation"
AI Engineer,LLM Applications Intern,"LangChain, Vector Databases, OpenAI API, Python, RAG architectures"
AI Engineer,Reinforcement Learning Intern,"Gymnasium, Deep Q-Networks, Python, Simulation Environments"
AI Engineer,AI Infrastructure Intern,"CUDA, Docker, Python, GPU Benchmarking, Model Optimization"
Prompt Engineer,Prompt Engineering Intern,"Generative AI, Large Language Models, Prompt Optimization, System Instructions"
Prompt Engineer,AI Content & Prompt Intern,"Creative Writing, LLM Tuning, Chain-of-Thought Prompting, Few-Shot Learning"
Prompt Engineer,AI Persona Developer Intern,"Behavioral Tuning, System Prompts, Safety Guardrails, Red Teaming"
Prompt Engineer,GenAI Application Intern,"API Integration, Prompt Versioning, Python, Midjourney/DALL-E prompt design"
Prompt Engineer,LLM Evaluation Intern,"Prompt Testing, Benchmark Analysis, Model Output Verification, Error Diagnosis"
Cloud Engineer,Cloud Infrastructure Intern,"AWS, Azure, Linux, CloudFormation, Networking Basics"
Cloud Engineer,Cloud Security Intern,"IAM, Compliance, AWS CloudTrail, Encryption, Network Security"
Cloud Engineer,Cloud Operations Intern,"Monitoring, Scripting (Bash/Python), CloudWatch, Cost Optimization"
Cloud Engineer,Multi-Cloud Solutions Intern,"AWS, GCP, Terraform, Architecture Design, Migration Strategies"
Cloud Engineer,Serverless Development Intern,"AWS Lambda, API Gateway, DynamoDB, Python, Node.js"
Cybersecurity Analyst,Information Security Intern,"Network Security, SIEM Tools, Firewalls, Threat Analysis, Linux"
Cybersecurity Analyst,Vulnerability Assessment Intern,"Nessus, Burp Suite, Penetration Testing, OWASP Top 10, Scripting"
Cybersecurity Analyst,SOC Analyst Intern,"Log Analysis, Incident Response, WireShark, Threat Hunting"
Cybersecurity Analyst,Application Security Intern,"Code Review, SAST/DAST, Cryptography, Secure Coding practices"
Cybersecurity Analyst,Compliance & Risk Intern,"ISO 27001, GDPR, NIST Framework, Risk Assessment, Audit Support"
